permit_number,id,info_source,applicant_id_eri,applicant_id,status,picture_url,range,reference_number,issue_date,housing,number_of_pets,permit_comments
216,207,"2024 FD Database, Historic",App_510,300,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
217,208,2024 FD Database,App_366,301,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
218,209,2024 FD Database,App_649,302,Active,,Belmopan,FD/GEN/42/3/42,,Active,,Applicant was granted a permit but he did not go to pick it up.
219,210,2024 FD Database,App_612,303,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
220,211,2024 FD Database,App_796,304,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
221,212,2024 FD Database,App_1313,305,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
222,213,2024 FD Database,App_1314,306,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
223,214,2024 FD Database,App_555,307,Active,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,Belmopan,FD/GEN/42/3/14,2017-05-10,Active,1,
223,214,2024 FD Database,App_1315,307,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
224,,Historic,App_1315,307,Active,,,FD/GEN/42/3/14,,,1,
225,216,2024 FD Database,App_1316,309,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
226,217,2024 FD Database,App_1317,310,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
227,218,2024 FD Database,App_1318,311,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
228,219,2024 FD Database,App_1319,312,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
229,220,2024 FD Database,App_1320,313,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
230,221,2024 FD Database,App_265,314,Active,,Belmopan,FD/GEN/42/3/14,,Active,2,
231,222,2024 FD Database,App_1321,315,Active,,Belmopan,FD/GEN/42/3/14,,Active,2,
232,223,2024 FD Database,App_1322,316,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
233,224,2024 FD Database,App_1323,317,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
234,225,2024 FD Database,App_447,318,Active,,San Ignacio,FD/GEB/42/3/14,,Active,1,
235,226,2024 FD Database,App_1324,319,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
236,227,2024 FD Database,App_1325,320,Active,,Belmopan,FD/GEN/42/3/14,,Active,2,
237,228,2024 FD Database,App_1362,321,Active,,Belmopan,FD/GEN/42/3/14,,Active,2,
238,229,2024 FD Database,App_1326,322,Active,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,Belmopan,FD/GEN/42/3/14,2020-03-11,Active,1,
239,230,2024 FD Database,App_1327,323,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
240,231,2024 FD Database,App_1328,324,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
241,232,2024 FD Database,App_1329,325,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
242,233,2024 FD Database,App_1330,326,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
243,234,2024 FD Database,App_1331,327,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
244,235,2024 FD Database,App_1332,328,Active,,Belmopan,FD/GEN/42/3/14,,Active,2,
245,236,"2024 FD Database, Historic",App_271,329,Active,,Belmopan,FD/GEN/42/3/14,,,2,
253,,Call,App_1008,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2016-07-09,,2,Name on permit is Thomas Coleman; he left and has no contact info; App_1008 now takes care of the birds
254,,Call,App_1008,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2016-07-09,,1,
280,,Call,App_231,,,,,,,,,
313,,Call,App_738,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2010-06-17,,1,
314,,Call,App_64,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2016-06-16,,1,
317,,Call,App_740,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2016-03-06,,1,
336,,Call,App_968,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2016-09-31,,1,
351,144,2024 FD Database,App_1159,237,Active,,San Ignacio,FD/GEN/42/3/14,2016-01-06,Active,1,
352,145,2024 FD Database,App_869,238,Active,,San Ignacio,FD/GEN/42/3/14,2016-01-06,Active,2,
